Pt	110138	GWHAACS00000459	15258	-
Pt	110138	GWHAACS00000630	24677	-
Pt	110138	GWHAACS00000459	8677	+
Pt	110138	2	175778976	-
Pt	110138	GWHAACS00000408	16274	+
Pt	110138	GWHAACS00000408	9096	-
Pt	110138	6	135433888	+
Mt	98038	9	64832468	-
Pt	73842	GWHAACS00000340	54705	+
Pt	73842	3	193188162	-
Pt	73842	GWHAACS00000613	22376	-
Pt	73842	GWHAACS00000612	1988	+
Pt	73842	GWHAACS00000627	22335	+
Pt	73842	GWHAACS00000611	4006	+
Pt	73842	GWHAACS00000625	26634	-
Pt	73842	GWHAACS00000618	17408	+
Pt	73842	GWHAACS00000650	19981	-
Pt	73842	GWHAACS00000604	24054	+
Pt	73842	GWHAACS00000596	10194	+
Pt	73842	3	193174233	-
Pt	73842	GWHAACS00000605	20518	-
Pt	73842	GWHAACS00000636	32435	+
Pt	73842	GWHAACS00000663	5018	+
Pt	73842	GWHAACS00000633	5731	-
Pt	73842	GWHAACS00000649	27010	-
Pt	73842	GWHAACS00000654	31889	+
Pt	73842	GWHAACS00000642	17491	-
Pt	73842	GWHAACS00000624	20358	-
Pt	73842	GWHAACS00000601	24503	-
Pt	50535	GWHAACS00000665	47247	-
Pt	50535	GWHAACS00000639	6580	-
Pt	50535	GWHAACS00000621	25162	+
Pt	50535	GWHAACS00000615	10487	-
Pt	50535	GWHAACS00000644	18251	-
Pt	50535	GWHAACS00000624	43013	-
Pt	50535	GWHAACS00000652	6733	-
Pt	50535	GWHAACS00000636	9689	+
Pt	50535	GWHAACS00000662	30354	+
Pt	50535	GWHAACS00000600	44868	-
Pt	50535	GWHAACS00000633	28408	-
Pt	50535	GWHAACS00000650	42660	-
Pt	50535	GWHAACS00000641	16895	-
Pt	50535	GWHAACS00000340	31957	+
Pt	50535	GWHAACS00000602	14155	-
Pt	50535	GWHAACS00000604	1306	+
Pt	50535	GWHAACS00000634	23554	+
Pt	50535	GWHAACS00000655	20833	-
Pt	50535	GWHAACS00000640	39223	-
Pt	50535	GWHAACS00000614	47197	-
Pt	50535	GWHAACS00000656	11800	+
Pt	66998	GWHAACS00000641	1577	-
Pt	66998	GWHAACS00000632	10437	+
Pt	66998	GWHAACS00000189	32379	-
Pt	66998	GWHAACS00000625	33981	-
Pt	66998	GWHAACS00000614	31863	-
Pt	66998	GWHAACS00000642	24835	-
Pt	66998	GWHAACS00000634	39455	+
Pt	66998	GWHAACS00000636	25588	+
Pt	66998	GWHAACS00000644	2919	-
Pt	66998	GWHAACS00000654	25041	+
Pt	66998	GWHAACS00000633	13078	-
Pt	66998	GWHAACS00000655	5497	-
Pt	66998	GWHAACS00000624	27680	-
Pt	66998	GWHAACS00000656	27698	+
Pt	66998	GWHAACS00000665	31915	-
Pt	66998	GWHAACS00000640	23880	-
Pt	66998	GWHAACS00000669	30282	-
Pt	66998	3	193195505	-
Pt	66998	GWHAACS00000607	3724	+
Pt	66998	GWHAACS00000613	29723	-
Pt	66998	GWHAACS00000653	4427	-
Mt	374935	1	9745404	+
Mt	374935	8	159027286	-
Mt	374935	4	101871748	+
Pt	63867	GWHAACS00000640	25723	-
Pt	63867	GWHAACS00000617	6081	+
Pt	63867	GWHAACS00000602	695	-
Pt	63867	GWHAACS00000650	29171	-
Pt	63867	GWHAACS00000629	10121	+
Pt	63867	GWHAACS00000646	9127	-
Pt	63867	GWHAACS00000665	33758	-
Pt	63867	GWHAACS00000618	8809	+
Pt	63867	GWHAACS00000632	8606	+
Pt	63867	GWHAACS00000596	1517	+
Pt	63867	GWHAACS00000613	31566	-
Pt	63867	GWHAACS00000656	25867	+
Pt	63867	GWHAACS00000653	6269	-
Pt	63867	GWHAACS00000642	26678	-
Pt	63867	GWHAACS00000644	4760	-
Pt	63867	8	157805787	+
Pt	63867	3	193197348	-
Pt	63867	GWHAACS00000669	32128	-
Pt	63867	GWHAACS00000625	35824	-
Pt	63867	GWHAACS00000340	46025	+
Pt	63867	GWHAACS00000645	45146	+
Mt	76132	5	31420317	+
Mt	510534	4	162209547	-
Mt	510534	4	117137438	-
Mt	510534	8	37529121	+
Pt	66312	GWHAACS00000636	28143	+
Pt	66312	GWHAACS00000633	10071	-
Pt	66312	GWHAACS00000189	29371	-
Pt	66312	GWHAACS00000614	28856	-
Pt	66312	GWHAACS00000649	31349	-
Pt	66312	GWHAACS00000657	27038	-
Pt	66312	GWHAACS00000640	20873	-
Pt	66312	GWHAACS00000629	14507	+
Pt	66312	GWHAACS00000459	56777	-
Pt	66312	GWHAACS00000616	418	-
Pt	66312	GWHAACS00000634	42012	+
Pt	66312	GWHAACS00000618	13115	+
Pt	66312	GWHAACS00000632	12994	+
Pt	66312	GWHAACS00000642	21830	-
Pt	66312	GWHAACS00000625	30974	-
Pt	66312	GWHAACS00000656	30255	+
Pt	66312	GWHAACS00000669	27275	-
Pt	66312	GWHAACS00000340	50413	+
Pt	66312	GWHAACS00000650	24321	-
Pt	66312	GWHAACS00000607	6281	+
Pt	66312	GWHAACS00000624	24700	-
Pt	79038	GWHAACS00000596	15388	+
Pt	79038	GWHAACS00000618	22602	+
Pt	79038	GWHAACS00000605	15654	-
Pt	79038	GWHAACS00000598	50666	+
Pt	79038	GWHAACS00000625	21767	-
Pt	79038	GWHAACS00000601	19633	-
Pt	79038	GWHAACS00000657	17831	-
Pt	79038	GWHAACS00000647	5670	+
Pt	79038	GWHAACS00000636	37628	+
Pt	79038	GWHAACS00000617	19955	+
Pt	79038	GWHAACS00000640	11666	-
Pt	79038	GWHAACS00000606	6175	+
Pt	79038	GWHAACS00000611	9200	+
Pt	79038	GWHAACS00000663	10212	+
Pt	79038	GWHAACS00000623	15638	-
Pt	79038	3	193183295	-
Pt	79038	GWHAACS00000654	37083	+
Pt	79038	GWHAACS00000649	22144	-
Pt	79038	GWHAACS00000631	16009	+
Pt	79038	GWHAACS00000608	3943	+
Pt	79038	GWHAACS00000648	25310	+
Mt	411137	1	149357310	-
Mt	411137	4	117055905	-
Mt	411137	6	112904138	-
Mt	411137	2	149070920	+
Mt	448356	1	257217560	+
Mt	448356	1	176632609	-
Mt	448356	GWHAACS00000541	1761141	+
Mt	11111	8	865332	-
Mt	11111	2	71794617	-
Mt	11111	3	211023896	-
Mt	11111	4	236391510	-
Mt	356474	2	205271016	-
Mt	356474	4	114443345	-
Pt	54176	GWHAACS00000636	13188	+
Pt	54176	GWHAACS00000642	35941	-
Pt	54176	GWHAACS00000615	6259	-
Pt	54176	GWHAACS00000665	43020	-
Pt	54176	GWHAACS00000604	4804	+
Pt	54176	GWHAACS00000644	14022	-
Pt	54176	GWHAACS00000662	33853	+
Pt	54176	GWHAACS00000633	24181	-
Pt	54176	GWHAACS00000645	34572	+
Pt	54176	GWHAACS00000598	26272	+
Pt	54176	GWHAACS00000634	27053	+
Pt	54176	GWHAACS00000624	38785	-
Pt	54176	GWHAACS00000652	2505	-
Pt	54176	GWHAACS00000614	42969	-
Pt	54176	GWHAACS00000628	19017	-
Pt	54176	GWHAACS00000656	15299	+
Pt	54176	GWHAACS00000654	12641	+
Pt	54176	GWHAACS00000603	24366	+
Pt	54176	GWHAACS00000638	23907	+
Pt	54176	GWHAACS00000653	15531	-
Pt	54176	GWHAACS00000627	3081	+
Pt	70706	GWHAACS00000340	51564	+
Pt	70706	GWHAACS00000627	19195	+
Pt	70706	GWHAACS00000634	43163	+
Pt	70706	GWHAACS00000614	26829	-
Pt	70706	GWHAACS00000649	29323	-
Pt	70706	GWHAACS00000633	8044	-
Pt	70706	GWHAACS00000459	54750	-
Pt	70706	GWHAACS00000657	25011	-
Pt	70706	GWHAACS00000631	7676	+
Pt	70706	GWHAACS00000604	20913	+
Pt	70706	GWHAACS00000607	7432	+
Pt	70706	GWHAACS00000613	24689	-
Pt	70706	GWHAACS00000669	25248	-
Pt	70706	GWHAACS00000640	18846	-
Pt	70706	GWHAACS00000628	2890	-
Pt	70706	GWHAACS00000611	865	+
Pt	70706	GWHAACS00000632	14145	+
Pt	70706	GWHAACS00000650	22294	-
Pt	70706	GWHAACS00000654	28749	+
Pt	70706	GWHAACS00000617	11620	+
Pt	70706	GWHAACS00000656	31406	+
Pt	31858	GWHAACS00000621	5886	+
Pt	31858	GWHAACS00000671	6150	+
Pt	31858	GWHAACS00000660	8611	-
Pt	31858	GWHAACS00000666	15487	-
Pt	31858	8	157792736	+
Pt	31858	GWHAACS00000599	13262	+
Pt	31858	GWHAACS00000340	12708	+
Pt	31858	GWHAACS00000645	11822	+
Pt	31858	GWHAACS00000634	4307	+
Pt	31858	GWHAACS00000664	14408	+
Pt	31858	GWHAACS00000461	21304	-
Pt	31858	GWHAACS00000650	61966	-
Pt	31858	GWHAACS00000615	29793	-
